CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
CN97741823,4711789098,S5,09-02-2000,ACT4,1-10,C5,0
CN78834341,6017135977,S1,12-10-2000,ACT6,11-20,C11,0
CN52448867,9905437912,S1,22-04-2000,ACT7,11-20,C12,1
CN49662515,3301603017,S1,11-11-2000,ACT8,11-20,C13,0
CN63873387,9297580770,S1,26-11-2000,ACT9,11-20,C14,1
CN85374472,2842546618,S1,29-12-2000,ACT10,11-20,C15,0
CN41636479,6071110889,S1,30-07-2000,ACT6,11-20,C14,0
CN74271504,8143113507,S1,15-02-2001,ACT7,11-20,C1,1
CN74554280,6703209564,S1,18-01-2001,ACT8,11-20,C4,1
CN29324747,2688089144,S1,04-04-2001,ACT9,11-20,C13,0
CN45739089,8821994718,S1,29-05-2001,ACT10,11-20,C11,1
CN51769195,9105636782,S1,12-10-2000,ACT6,11-20,C11,0
CN65971269,4093141963,S1,22-04-2000,ACT7,11-20,C12,1
CN89295261,4250769606,S1,11-11-2000,ACT8,11-20,C13,0
CN45240117,5976263524,S1,26-11-2000,ACT9,11-20,C14,1
CN87335110,7932055267,S1,29-12-2000,ACT10,11-20,C15,0
CN86283736,4304103025,S1,30-07-2000,ACT6,11-20,C14,0
CN91095693,6987335645,S1,15-02-2001,ACT7,11-20,C1,1
CN72793212,4643887944,S1,18-01-2001,ACT8,11-20,C4,1
CN64424168,8578010290,S1,04-04-2001,ACT9,11-20,C13,0
CN48443957,5201319602,S1,29-05-2001,ACT10,11-20,C11,1
CN29107274,9165653164,S1,12-10-2000,ACT6,11-20,C11,0
CN89207392,3092445596,S1,22-04-2000,ACT7,11-20,C12,1
CN24862036,7407173149,S1,11-11-2000,ACT8,11-20,C13,0
CN95863283,9964704790,S1,26-11-2000,ACT9,11-20,C14,1
CN36465768,9162682593,S1,29-12-2000,ACT10,11-20,C15,0
CN23655268,2688733262,S1,30-07-2000,ACT6,11-20,C14,0
CN32387033,7459084629,S1,15-02-2001,ACT7,11-20,C1,1
CN66709121,5199981509,S1,18-01-2001,ACT8,11-20,C4,1
CN73046252,6842914104,S1,04-04-2001,ACT9,11-20,C13,0
CN80643887,9608678180,S1,29-05-2001,ACT10,11-20,C11,1
CN31563151,8375899830,S1,12-10-2000,ACT6,11-20,C11,0
CN43686451,5488841346,S1,22-04-2000,ACT7,11-20,C12,1
CN45100056,8893830959,S1,11-11-2000,ACT8,11-20,C13,0
CN64674048,4478257169,S1,26-11-2000,ACT9,11-20,C14,1
CN44496200,5272254513,S1,29-12-2000,ACT10,11-20,C15,0
CN88775079,8709223908,S1,30-07-2000,ACT6,11-20,C14,0
CN55379108,3632493756,S1,15-02-2001,ACT7,11-20,C1,1
CN28779454,7322854516,S1,18-01-2001,ACT8,11-20,C4,1
CN79788169,9325098500,S1,04-04-2001,ACT9,11-20,C13,0
CN53055440,2905985965,S1,29-05-2001,ACT10,11-20,C11,1
CN54421536,2441197192,S1,12-10-2000,ACT6,11-20,C11,0
CN66237883,7833501515,S1,22-04-2000,ACT7,11-20,C12,1
CN58356863,4555516454,S1,11-11-2000,ACT8,11-20,C13,0
CN50029969,8223239756,S1,26-11-2000,ACT9,11-20,C14,1
CN30270863,3062282764,S1,29-12-2000,ACT10,11-20,C15,0
CN44134242,3399215030,S1,30-07-2000,ACT6,11-20,C14,0
CN97030103,8113820312,S1,15-02-2001,ACT7,11-20,C1,1
CN46391517,6965683132,S1,18-01-2001,ACT8,11-20,C4,1
CN54146864,4229856947,S1,04-04-2001,ACT9,11-20,C13,0
CN86629559,3813279688,S1,29-05-2001,ACT10,11-20,C11,1
CN67350562,2723358154,S1,12-10-2000,ACT6,11-20,C11,0
CN54809392,3077556587,S1,22-04-2000,ACT7,11-20,C12,1
CN80558728,9113646319,S1,11-11-2000,ACT8,11-20,C13,0
CN68030047,5997665585,S1,26-11-2000,ACT9,11-20,C14,1
CN58869441,9434786637,S1,29-12-2000,ACT10,11-20,C15,0
CN82810411,8685589665,S1,30-07-2000,ACT6,11-20,C14,0
CN88632496,7085543717,S1,15-02-2001,ACT7,11-20,C1,1
CN55231029,9258331186,S1,18-01-2001,ACT8,11-20,C4,1
CN22728171,3973459306,S1,04-04-2001,ACT9,11-20,C13,0
CN45546411,2361126789,S1,29-05-2001,ACT10,11-20,C11,1
CN73093742,9096490914,S1,12-10-2000,ACT6,11-20,C11,0
CN90407213,9385225450,S1,22-04-2000,ACT7,11-20,C12,1
CN90616402,6447400841,S1,11-11-2000,ACT8,11-20,C13,0
CN51649367,7257466414,S1,26-11-2000,ACT9,11-20,C14,1
CN66665873,6363269973,S1,29-12-2000,ACT10,11-20,C15,0
CN61957891,2361422758,S1,30-07-2000,ACT6,11-20,C14,0
CN38534933,4068001689,S1,15-02-2001,ACT7,11-20,C1,1
CN69317453,6347286411,S1,18-01-2001,ACT8,11-20,C4,1
CN39831153,2727948551,S1,04-04-2001,ACT9,11-20,C13,0
CN67914108,7270340394,S1,29-05-2001,ACT10,11-20,C11,1
CN85048201,7764751486,S1,12-10-2000,ACT6,11-20,C11,0
CN96343418,2789969472,S1,22-04-2000,ACT7,11-20,C12,1
CN23746358,5551885684,S1,11-11-2000,ACT8,11-20,C13,0
CN59062893,8898146796,S1,26-11-2000,ACT9,11-20,C14,1
CN37194642,3141791058,S1,29-12-2000,ACT10,11-20,C15,0
CN52137326,6306522355,S1,30-07-2000,ACT6,11-20,C14,0
CN30309784,4118344590,S1,15-02-2001,ACT7,11-20,C1,1
CN77024133,4899322477,S1,18-01-2001,ACT8,11-20,C4,1
CN89903605,6959947046,S2,04-04-2001,ACT6,11-20,C13,0
CN73143199,8078379334,S2,29-05-2001,ACT7,11-20,C11,1
CN26148232,2560553351,S2,12-10-2000,ACT8,11-20,C11,0
CN37488757,8952071906,S2,22-04-2000,ACT9,11-20,C12,1
CN31323825,5879505506,S2,11-11-2000,ACT10,11-20,C13,0
CN67547804,6519159335,S2,26-11-2000,ACT6,11-20,C14,1
CN38960461,9740737993,S2,29-12-2000,ACT7,11-20,C15,0
CN99115832,5838101268,S2,30-07-2000,ACT8,11-20,C14,0
CN70853604,7291826027,S2,15-02-2001,ACT9,11-20,C1,1
CN44511755,8862444405,S2,18-01-2001,ACT10,11-20,C4,1
CN55996038,8949439159,S2,04-04-2001,ACT6,11-20,C13,0
CN74531280,9299658527,S2,29-05-2001,ACT7,11-20,C11,1
CN72312240,9225396225,S2,12-10-2000,ACT8,11-20,C11,0
CN91818886,5713820526,S2,22-04-2000,ACT9,11-20,C12,1
CN84816572,5698152004,S2,11-11-2000,ACT10,11-20,C13,0
CN58087373,9373223594,S2,26-11-2000,ACT6,11-20,C14,1
CN37279311,6914821275,S2,29-12-2000,ACT7,11-20,C15,0
CN49353562,6621151779,S2,30-07-2000,ACT8,11-20,C14,0
CN35022775,5753122674,S2,15-02-2001,ACT9,11-20,C1,1
CN43819971,8834364938,S2,18-01-2001,ACT10,11-20,C4,1
CN49891927,3237879465,S2,04-04-2001,ACT6,11-20,C13,0
CN86257968,3175667708,S2,29-05-2001,ACT7,11-20,C11,1
CN68554398,4470353723,S2,12-10-2000,ACT8,11-20,C11,0
CN27514709,2624563289,S2,22-04-2000,ACT9,11-20,C12,1
CN37714849,2821569865,S2,11-11-2000,ACT10,11-20,C13,0
CN99875811,7658515758,S2,26-11-2000,ACT6,11-20,C14,1
CN39455625,6471136175,S2,29-12-2000,ACT7,11-20,C15,0
CN90129684,9564971095,S2,30-07-2000,ACT8,11-20,C14,0
CN61935647,9169867343,S2,15-02-2001,ACT9,11-20,C1,1
CN93490868,2692781188,S2,18-01-2001,ACT10,11-20,C4,1
CN34506535,5430982769,S2,04-04-2001,ACT6,11-20,C13,0
CN68469356,6111626944,S2,29-05-2001,ACT7,11-20,C11,1
CN76307727,9511971589,S2,12-10-2000,ACT8,11-20,C11,0
CN62637369,3435115170,S2,22-04-2000,ACT9,11-20,C12,1
CN36689532,5270115892,S2,11-11-2000,ACT10,11-20,C13,0
CN41431297,7606938150,S2,26-11-2000,ACT6,11-20,C14,1
CN68826625,4836765047,S2,29-12-2000,ACT7,11-20,C15,0
CN73678394,9682007487,S2,30-07-2000,ACT8,11-20,C14,0
CN76673952,2874968274,S2,15-02-2001,ACT9,11-20,C1,1
CN70692275,2444636776,S2,18-01-2001,ACT10,11-20,C4,1
CN65251100,2480603994,S2,04-04-2001,ACT6,11-20,C13,0
CN30758210,7530600284,S2,29-05-2001,ACT7,11-20,C11,1
CN67028602,3721129141,S2,12-10-2000,ACT8,11-20,C11,0
CN42113336,7313755166,S2,22-04-2000,ACT9,11-20,C12,1
CN45796088,2522238665,S2,11-11-2000,ACT10,11-20,C13,0
CN94213600,4355360800,S2,26-11-2000,ACT6,11-20,C14,1
CN56887574,2960084646,S2,29-12-2000,ACT7,11-20,C15,0
CN58526668,3565907181,S2,30-07-2000,ACT8,11-20,C14,0
CN60744484,9518182255,S2,15-02-2001,ACT9,11-20,C1,1
CN22465474,5043752487,S2,18-01-2001,ACT10,11-20,C4,1
CN60081549,5360974075,S2,04-04-2001,ACT6,11-20,C13,0
CN29122481,4652121619,S2,29-05-2001,ACT7,11-20,C11,1
CN57007856,2762478883,S2,12-10-2000,ACT8,11-20,C11,0
CN32874383,6050864429,S2,22-04-2000,ACT9,11-20,C12,1
CN65332122,2759693807,S2,11-11-2000,ACT10,11-20,C13,0
CN65377247,6456968587,S2,26-11-2000,ACT6,11-20,C14,1
CN59147103,7834593078,S2,29-12-2000,ACT7,11-20,C15,0
CN61619752,7307855619,S2,30-07-2000,ACT8,11-20,C14,0
CN29807881,9551778634,S2,15-02-2001,ACT9,11-20,C1,1
CN96601808,3346348692,S2,18-01-2001,ACT10,11-20,C4,1
CN62123736,4995583609,S2,04-04-2001,ACT6,11-20,C13,0
CN78856352,9053503673,S2,29-05-2001,ACT7,11-20,C11,1
CN59578648,5957802652,S2,12-10-2000,ACT8,11-20,C11,0
CN33438010,5601317159,S2,22-04-2000,ACT9,11-20,C12,1
CN95699901,6174145925,S2,11-11-2000,ACT10,11-20,C13,0
CN60495261,7149306380,S2,26-11-2000,ACT6,11-20,C14,1
CN91184637,9207594608,S2,29-12-2000,ACT7,11-20,C15,0
CN95635142,3435706092,S2,30-07-2000,ACT8,11-20,C14,0
CN96040284,5006056182,S2,15-02-2001,ACT9,11-20,C1,1
CN51691358,3157614162,S2,18-01-2001,ACT10,11-20,C4,1
CN58158915,2606586451,S2,04-04-2001,ACT6,11-20,C13,0
CN64519117,5500523359,S2,29-05-2001,ACT7,11-20,C11,1
CN59414476,3808503815,S2,12-10-2000,ACT8,11-20,C11,0
CN71445770,2697115367,S2,22-04-2000,ACT9,11-20,C12,1
CN67883510,9555760545,S2,11-11-2000,ACT10,11-20,C13,0
CN57283052,6835989836,S2,26-11-2000,ACT6,11-20,C14,1
CN29299371,9858299075,S2,29-12-2000,ACT7,11-20,C15,0
CN97480604,9656324255,S2,30-07-2000,ACT8,11-20,C14,0
CN87117796,7594050626,S2,15-02-2001,ACT9,11-20,C1,1
CN38693479,6811325027,S3,18-01-2001,ACT6,11-20,C4,1
CN46680550,5993061819,S3,04-04-2001,ACT7,11-20,C13,0
CN66015879,7256396713,S3,29-05-2001,ACT8,11-20,C11,1
CN25063886,8288489470,S3,12-10-2000,ACT9,11-20,C11,0
CN98873963,9853031909,S3,22-04-2000,ACT10,11-20,C12,1
CN87738134,6739452191,S3,11-11-2000,ACT6,11-20,C13,0
CN73944814,2248815909,S3,26-11-2000,ACT7,11-20,C14,1
CN78511548,2728685513,S3,29-12-2000,ACT8,11-20,C15,0
CN70759137,3022120858,S3,30-07-2000,ACT9,11-20,C14,0
CN67911775,7443405353,S3,15-02-2001,ACT10,11-20,C1,1
CN69357617,4688096706,S3,18-01-2001,ACT6,11-20,C4,1
CN96122131,3521364542,S3,04-04-2001,ACT7,11-20,C13,0
CN67545894,6901330615,S3,29-05-2001,ACT8,11-20,C11,1
CN81541206,3695680180,S3,12-10-2000,ACT9,11-20,C11,0
CN44725620,3570858121,S3,22-04-2000,ACT10,11-20,C12,1
CN32996792,5765525194,S3,11-11-2000,ACT6,11-20,C13,0
CN48658242,3981092739,S3,26-11-2000,ACT7,11-20,C14,1
CN57940343,9366302752,S3,29-12-2000,ACT8,11-20,C15,0
CN97510108,7373276955,S3,30-07-2000,ACT9,11-20,C14,0
CN52150986,8837643667,S3,15-02-2001,ACT10,11-20,C1,1
CN98131202,5964978505,S3,18-01-2001,ACT6,11-20,C4,1
CN33840137,6493648764,S3,04-04-2001,ACT7,11-20,C13,0
CN50197183,4661845482,S3,29-05-2001,ACT8,11-20,C11,1
CN93242064,3516091479,S3,12-10-2000,ACT9,11-20,C11,0
CN96899857,9495789896,S3,22-04-2000,ACT10,11-20,C12,1
CN58892091,5640502871,S3,11-11-2000,ACT6,11-20,C13,0
CN40644423,7294859615,S3,26-11-2000,ACT7,11-20,C14,1
CN53972915,6503362224,S3,29-12-2000,ACT8,11-20,C15,0
CN70620349,6024205552,S3,30-07-2000,ACT9,11-20,C14,0
CN95582214,6245016295,S3,15-02-2001,ACT10,11-20,C1,1
CN67521703,2741660348,S3,18-01-2001,ACT6,11-20,C4,1
CN48154993,4022066526,S3,04-04-2001,ACT7,11-20,C13,0
CN85418308,3086008134,S3,29-05-2001,ACT8,11-20,C11,1
CN25671561,3733561453,S3,12-10-2000,ACT9,11-20,C11,0
CN82769270,3725541350,S3,22-04-2000,ACT10,11-20,C12,1
CN28859822,2387588382,S3,11-11-2000,ACT6,11-20,C13,0
CN73541878,4453624106,S3,26-11-2000,ACT7,11-20,C14,1
CN53027063,3395661683,S3,29-12-2000,ACT8,11-20,C15,0
CN85752586,7234836692,S3,30-07-2000,ACT9,11-20,C14,0
CN68400774,5690427697,S3,15-02-2001,ACT10,11-20,C1,1
CN48792866,3249044679,S3,18-01-2001,ACT6,11-20,C4,1
CN79113313,3040854740,S3,04-04-2001,ACT7,11-20,C13,0
CN73295600,7564061010,S3,29-05-2001,ACT8,11-20,C11,1
CN73241397,7373534277,S3,12-10-2000,ACT9,11-20,C11,0
CN96451585,8345476215,S3,22-04-2000,ACT10,11-20,C12,1
CN50796740,5096766114,S3,11-11-2000,ACT6,11-20,C13,0
CN86513091,9827828750,S3,26-11-2000,ACT7,11-20,C14,1
CN58538879,6506807201,S3,29-12-2000,ACT8,11-20,C15,0
CN75781392,7186582407,S3,30-07-2000,ACT9,11-20,C14,0
CN25351370,7152758095,S3,15-02-2001,ACT10,11-20,C1,1
CN49381859,9680702133,S3,18-01-2001,ACT6,11-20,C4,1
CN36493542,2271036936,S3,04-04-2001,ACT7,11-20,C13,0
CN60368887,7475063511,S3,29-05-2001,ACT8,11-20,C11,1
CN98868894,2998571036,S3,12-10-2000,ACT9,11-20,C11,0
CN88808935,5467795184,S3,22-04-2000,ACT10,11-20,C12,1
CN99964252,5812034933,S3,11-11-2000,ACT6,11-20,C13,0
CN74648622,6447912352,S3,26-11-2000,ACT7,11-20,C14,1
CN98002810,8879462951,S3,29-12-2000,ACT8,11-20,C15,0
CN72844225,7468659227,S3,30-07-2000,ACT9,11-20,C14,0
CN86510210,2868651615,S3,15-02-2001,ACT10,11-20,C1,1
CN36258443,5540679595,S3,18-01-2001,ACT6,11-20,C4,1
CN89502412,4302038645,S3,04-04-2001,ACT7,11-20,C13,0
CN61526304,7902890548,S3,29-05-2001,ACT8,11-20,C11,1
CN41808162,8912735355,S3,12-10-2000,ACT9,11-20,C11,0
CN33993484,6553512583,S3,22-04-2000,ACT10,11-20,C12,1
CN36357998,4623512146,S3,11-11-2000,ACT6,11-20,C13,0
CN62573639,2295394638,S3,26-11-2000,ACT7,11-20,C14,1
CN41406688,4582159313,S3,29-12-2000,ACT8,11-20,C15,0
CN86743944,3264477877,S3,30-07-2000,ACT9,11-20,C14,0
CN49663771,9831715395,S3,15-02-2001,ACT10,11-20,C1,1
CN79121886,6307787767,S3,18-01-2001,ACT6,11-20,C4,1
CN87393965,5579912644,S3,04-04-2001,ACT7,11-20,C13,0
CN67413627,3077446713,S3,29-05-2001,ACT8,11-20,C11,1
CN48408368,6557570516,S3,12-10-2000,ACT9,11-20,C11,0
CN89310547,4254665808,S3,22-04-2000,ACT10,11-20,C12,1
CN73592787,5495529894,S3,11-11-2000,ACT6,11-20,C13,0
CN75530298,4231339375,S3,26-11-2000,ACT7,11-20,C14,1
CN79926280,5134675725,S3,29-12-2000,ACT8,11-20,C15,0
CN60227967,4090779476,S4,30-07-2000,ACT6,11-20,C14,0
CN23525241,8751523927,S4,15-02-2001,ACT7,11-20,C1,1
CN90590044,2635738359,S4,18-01-2001,ACT8,11-20,C4,1
CN69483982,4078956768,S4,04-04-2001,ACT9,11-20,C13,0
CN77984725,9064565699,S4,29-05-2001,ACT10,11-20,C11,1
CN83166704,6759537886,S4,12-10-2000,ACT6,11-20,C11,0
CN99691213,8940169800,S4,22-04-2000,ACT7,11-20,C12,1
CN67807900,6081098971,S4,11-11-2000,ACT8,11-20,C13,0
CN41998170,6497772139,S4,26-11-2000,ACT9,11-20,C14,1
CN74442740,5048978607,S4,29-12-2000,ACT10,11-20,C15,0
CN50788599,7347796805,S4,30-07-2000,ACT6,11-20,C14,0
CN50947484,5425722196,S4,15-02-2001,ACT7,11-20,C1,1
CN78623492,9519130976,S4,18-01-2001,ACT8,11-20,C4,1
CN49825488,2244379305,S4,04-04-2001,ACT9,11-20,C13,0
CN75350715,5653278272,S4,29-05-2001,ACT10,11-20,C11,1
CN94381257,2560783635,S4,12-10-2000,ACT6,11-20,C11,0
CN76457555,7745697980,S4,22-04-2000,ACT7,11-20,C12,1
CN38026532,6134876906,S4,11-11-2000,ACT8,11-20,C13,0
CN23224539,3924275889,S4,26-11-2000,ACT9,11-20,C14,1
CN99201616,8316835265,S4,29-12-2000,ACT10,11-20,C15,0
CN73326284,3373219089,S4,30-07-2000,ACT6,11-20,C14,0
CN62991329,2685525712,S4,15-02-2001,ACT7,11-20,C1,1
CN38705100,9738594806,S4,18-01-2001,ACT8,11-20,C4,1
CN57200058,2890940875,S4,04-04-2001,ACT9,11-20,C13,0
CN87094745,9962078681,S4,29-05-2001,ACT10,11-20,C11,1
CN38426431,5998374205,S4,12-10-2000,ACT6,11-20,C11,0
CN37006870,3382471509,S4,22-04-2000,ACT7,11-20,C12,1
CN23413179,3030947849,S4,11-11-2000,ACT8,11-20,C13,0
CN68900674,7955336991,S4,26-11-2000,ACT9,11-20,C14,1
CN66966079,9072991733,S4,29-12-2000,ACT10,11-20,C15,0
CN51092336,8038439436,S4,30-07-2000,ACT6,11-20,C14,0
CN35110175,6090716859,S4,15-02-2001,ACT7,11-20,C1,1
CN58563284,4756585481,S4,18-01-2001,ACT8,11-20,C4,1
CN61910418,2870329240,S4,04-04-2001,ACT9,11-20,C13,0
CN28303640,8826816843,S4,29-05-2001,ACT10,11-20,C11,1
CN29748825,2862777784,S4,12-10-2000,ACT6,11-20,C11,0
CN69396613,5606315318,S4,22-04-2000,ACT7,11-20,C12,1
CN33402895,8922356989,S4,11-11-2000,ACT8,11-20,C13,0
CN48507100,7926481185,S4,26-11-2000,ACT9,11-20,C14,1
CN70241641,8665178756,S4,29-12-2000,ACT10,11-20,C15,0
CN36871908,8080837489,S4,30-07-2000,ACT6,11-20,C14,0
CN90031494,2270119237,S4,15-02-2001,ACT7,11-20,C1,1
CN80115779,8189627083,S4,18-01-2001,ACT8,11-20,C4,1
CN44435439,4824463335,S4,04-04-2001,ACT9,11-20,C13,0
CN92291671,4831058887,S4,29-05-2001,ACT10,11-20,C11,1
CN59054821,6471650178,S4,12-10-2000,ACT6,11-20,C11,0
CN32073157,6618266680,S4,22-04-2000,ACT7,11-20,C12,1
CN57546352,5840316449,S4,11-11-2000,ACT8,11-20,C13,0
CN39857056,2907273442,S4,26-11-2000,ACT9,11-20,C14,1
CN69995835,5101235412,S4,29-12-2000,ACT10,11-20,C15,0
CN80845464,2338343536,S4,30-07-2000,ACT6,11-20,C14,0
CN64803793,3748238471,S4,15-02-2001,ACT7,11-20,C1,1
CN61404231,9863296190,S4,18-01-2001,ACT8,11-20,C4,1
CN91529522,3159779480,S4,04-04-2001,ACT9,11-20,C13,0
CN52031437,3301858802,S4,29-05-2001,ACT10,11-20,C11,1
CN59940655,4238567876,S4,12-10-2000,ACT6,11-20,C11,0
CN30720991,2494767601,S4,22-04-2000,ACT7,11-20,C12,1
CN71904888,4626631928,S4,11-11-2000,ACT8,11-20,C13,0
CN57054378,4337115400,S4,26-11-2000,ACT9,11-20,C14,1
CN32964998,7257174730,S4,29-12-2000,ACT10,11-20,C15,0
CN62404864,7015168634,S4,30-07-2000,ACT6,11-20,C14,0
CN40220348,7416326874,S4,15-02-2001,ACT7,11-20,C1,1
CN55781076,3078098484,S4,18-01-2001,ACT8,11-20,C4,1
CN81208086,7059730708,S4,04-04-2001,ACT9,11-20,C13,0
CN51673605,7516671788,S4,29-05-2001,ACT10,11-20,C11,1
CN28975376,8775306203,S4,12-10-2000,ACT6,11-20,C11,0
CN63174012,4192417410,S4,22-04-2000,ACT7,11-20,C12,1
CN94476072,4050650609,S4,11-11-2000,ACT8,11-20,C13,0
CN96760237,8203503415,S4,26-11-2000,ACT9,11-20,C14,1
CN37980431,3293354373,S4,29-12-2000,ACT10,11-20,C15,0
CN71946461,3981376739,S4,30-07-2000,ACT6,11-20,C14,0
CN44979236,6916218389,S4,15-02-2001,ACT7,11-20,C1,1
CN67326061,7130742233,S4,18-01-2001,ACT8,11-20,C4,1
CN62746671,6689443942,S4,04-04-2001,ACT9,11-20,C13,0
CN74282073,9068060062,S4,29-05-2001,ACT10,11-20,C11,1
CN63990516,6487218677,S4,12-10-2000,ACT6,11-20,C11,0
CN37950926,7632521165,S4,22-04-2000,ACT7,11-20,C12,1
CN78893839,4741743685,S4,11-11-2000,ACT8,11-20,C13,0
CN28844537,3990095697,S5,26-11-2000,ACT6,11-20,C14,1
CN44375869,4494545279,S5,29-12-2000,ACT7,11-20,C15,0
CN91960769,3116539151,S5,30-07-2000,ACT8,11-20,C14,0
CN78762732,9163102413,S5,15-02-2001,ACT9,11-20,C1,1
CN66002099,5631512796,S5,18-01-2001,ACT10,11-20,C4,1
CN97920475,4067971752,S5,04-04-2001,ACT6,11-20,C13,0
CN82318947,9736607979,S5,29-05-2001,ACT7,11-20,C11,1
CN35764590,4449796758,S5,12-10-2000,ACT8,11-20,C11,0
CN30679869,9011782579,S5,22-04-2000,ACT9,11-20,C12,1
CN68035626,4435891965,S5,11-11-2000,ACT10,11-20,C13,0
CN83704257,3710539535,S5,26-11-2000,ACT6,11-20,C14,1
CN55216913,5162262944,S5,29-12-2000,ACT7,11-20,C15,0
CN44804776,7990513211,S5,30-07-2000,ACT8,11-20,C14,0
CN71878469,7880107939,S5,15-02-2001,ACT9,11-20,C1,1
CN72233580,4783274760,S5,18-01-2001,ACT10,11-20,C4,1
CN50146785,9904824803,S5,04-04-2001,ACT6,11-20,C13,0
CN63546202,2426698504,S5,29-05-2001,ACT7,11-20,C11,1
CN97860051,7034568103,S5,12-10-2000,ACT8,11-20,C11,0
CN93979493,9011459992,S5,22-04-2000,ACT9,11-20,C12,1
CN67188815,4715420529,S5,11-11-2000,ACT10,11-20,C13,0
CN66914883,6160014336,S5,26-11-2000,ACT6,11-20,C14,1
CN69744275,4801586797,S5,29-12-2000,ACT7,11-20,C15,0
CN41183736,2806260149,S5,30-07-2000,ACT8,11-20,C14,0
CN33532005,9913046740,S5,15-02-2001,ACT9,11-20,C1,1
CN89566529,7951007789,S5,18-01-2001,ACT10,11-20,C4,1
CN93638271,3543083002,S5,04-04-2001,ACT6,11-20,C13,0
CN88275398,5150232055,S5,29-05-2001,ACT7,11-20,C11,1
CN55910256,3619907222,S5,12-10-2000,ACT8,11-20,C11,0
CN27978932,4435576192,S5,22-04-2000,ACT9,11-20,C12,1
CN72711337,4497541533,S5,11-11-2000,ACT10,11-20,C13,0
CN61817748,3217094884,S5,26-11-2000,ACT6,11-20,C14,1
CN23591417,3160053113,S5,29-12-2000,ACT7,11-20,C15,0
CN64313237,3037004395,S5,30-07-2000,ACT8,11-20,C14,0
CN86298928,8528585565,S5,15-02-2001,ACT9,11-20,C1,1
CN54677836,7812706208,S5,18-01-2001,ACT10,11-20,C4,1
CN70485515,5577100648,S5,04-04-2001,ACT6,11-20,C13,0
CN83871157,8626768804,S5,29-05-2001,ACT7,11-20,C11,1
CN90001693,4798758299,S5,12-10-2000,ACT8,11-20,C11,0
CN62259688,3769844148,S5,22-04-2000,ACT9,11-20,C12,1
CN65795695,7491116646,S5,11-11-2000,ACT10,11-20,C13,0
CN49156853,8631040935,S5,26-11-2000,ACT6,11-20,C14,1
CN29483835,6112687765,S5,29-12-2000,ACT7,11-20,C15,0
CN27701988,2920704491,S5,30-07-2000,ACT8,11-20,C14,0
CN31859353,4471277269,S5,15-02-2001,ACT9,11-20,C1,1
CN68934051,9420451922,S5,18-01-2001,ACT10,11-20,C4,1
CN35269898,4652937907,S5,04-04-2001,ACT6,11-20,C13,0
CN66887744,5665359515,S5,29-05-2001,ACT7,11-20,C11,1
CN44709383,7046195766,S5,12-10-2000,ACT8,11-20,C11,0
CN98462733,2693548404,S5,22-04-2000,ACT9,11-20,C12,1
CN26952240,6584979609,S5,11-11-2000,ACT10,11-20,C13,0
CN78189705,4987610252,S5,26-11-2000,ACT6,11-20,C14,1
CN59290844,5296220606,S5,29-12-2000,ACT7,11-20,C15,0
CN42174695,9501204255,S5,30-07-2000,ACT8,11-20,C14,0
CN97845833,5114244560,S5,15-02-2001,ACT9,11-20,C1,1
CN64717555,7822856924,S5,18-01-2001,ACT10,11-20,C4,1
CN90457801,9652043617,S5,04-04-2001,ACT6,11-20,C13,0
CN35181608,8993886049,S5,29-05-2001,ACT7,11-20,C11,1
CN40227426,3075331095,S5,12-10-2000,ACT8,11-20,C11,0
CN63274247,6118648687,S5,22-04-2000,ACT9,11-20,C12,1
CN54880621,6043314499,S5,11-11-2000,ACT10,11-20,C13,0
CN93129688,5278424176,S5,26-11-2000,ACT6,11-20,C14,1
CN30616663,9224264240,S5,29-12-2000,ACT7,11-20,C15,0
CN94395717,3526147212,S5,30-07-2000,ACT8,11-20,C14,0
CN28200816,6923805239,S5,15-02-2001,ACT9,11-20,C1,1
CN69301622,5859232416,S5,18-01-2001,ACT10,11-20,C4,1
CN97841243,2396069564,S5,04-04-2001,ACT6,11-20,C13,0
CN80629767,7488902229,S5,29-05-2001,ACT7,11-20,C11,1
CN62276152,4598495099,S5,12-10-2000,ACT8,11-20,C11,0
CN33889400,8078634580,S5,22-04-2000,ACT9,11-20,C12,1
CN25457070,8508808459,S5,11-11-2000,ACT10,11-20,C13,0
CN45695162,8990262100,S5,26-11-2000,ACT6,11-20,C14,1
CN91061904,3715449148,S5,29-12-2000,ACT7,11-20,C15,0
CN95899131,3010276740,S5,30-07-2000,ACT8,11-20,C14,0
CN89455704,8513691670,S5,15-02-2001,ACT9,11-20,C1,1
CN98627764,7515576283,S5,18-01-2001,ACT10,11-20,C4,1
CN55599275,6011941068,S5,04-04-2001,ACT6,11-20,C13,0
CN55688633,7245065536,S5,29-05-2001,ACT7,11-20,C11,1
CN65389268,4001995388,S1,12-06-2001,ACT11,21-30,C19,1
CN92399572,8531014643,S1,19-08-2001,ACT12,21-30,C4,0
CN34415459,4727757364,S1,24-04-2001,ACT13,21-30,C6,1
CN54566257,4744045695,S1,16-09-2001,ACT14,21-30,C9,0
CN81894703,8721859888,S1,03-10-2001,ACT15,21-30,C10,0
CN49204789,6199946937,S1,24-10-2001,ACT11,21-30,C3,1
