   ,CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
1848,CN55379063,4153814708,S5,27-06-2000,ACT2,1-10,C8,0
1849,CN52476714,4188949602,S5,14-07-2000,ACT3,1-10,C9,0
1850,CN54144959,8192524486,S5,29-09-2000,ACT4,1-10,C10,1
1891,CN27680093,6949643375,S5,04-03-2000,ACT5,1-10,C1,1
1892,CN90899535,9625945992,S5,17-04-2000,ACT1,1-10,C2,1
1893,CN52618169,6544090186,S5,28-06-2000,ACT2,1-10,C3,1
1894,CN80716298,3668237341,S5,15-05-2000,ACT3,1-10,C4,0
1895,CN90315598,8818934323,S5,09-02-2000,ACT4,1-10,C5,0
1896,CN96851428,9000991481,S5,19-08-2000,ACT5,1-10,C6,1
1897,CN80523367,2441960504,S5,28-08-2000,ACT1,1-10,C7,1
1898,CN36698134,6123806884,S5,27-06-2000,ACT2,1-10,C8,0
1899,CN52282480,9240409475,S5,14-07-2000,ACT3,1-10,C9,0
1900,CN43121093,6587886675,S5,29-09-2000,ACT4,1-10,C10,1
1941,CN58338679,4226538523,S5,04-03-2000,ACT5,1-10,C1,1
1942,CN97112776,8702309907,S5,17-04-2000,ACT1,1-10,C2,1
1943,CN64867609,4295753554,S5,28-06-2000,ACT2,1-10,C3,1
1944,CN86715259,9841802951,S5,15-05-2000,ACT3,1-10,C4,0
1945,CN35921388,5625833994,S5,09-02-2000,ACT4,1-10,C5,0
1946,CN71943158,4021773190,S5,19-08-2000,ACT5,1-10,C6,1
1947,CN96670964,2244785228,S5,28-08-2000,ACT1,1-10,C7,1
1948,CN96060991,9421281111,S5,27-06-2000,ACT2,1-10,C8,0
1949,CN37741933,2309936582,S5,14-07-2000,ACT3,1-10,C9,0
1950,CN32202366,8847245040,S5,29-09-2000,ACT4,1-10,C10,1
1996,CN73814687,7138269184,S5,04-03-2000,ACT5,1-10,C1,1
1997,CN30173370,8870806058,S5,17-04-2000,ACT1,1-10,C2,1
1998,CN69025673,9819826000,S5,28-06-2000,ACT2,1-10,C3,1
1999,CN89103650,7575264740,S5,15-05-2000,ACT3,1-10,C4,0
2000,CN97741823,4711789098,S5,09-02-2000,ACT4,1-10,C5,0
31,CN78834341,6017135977,S1,12-10-2000,ACT6,11-20,C11,0
32,CN52448867,9905437912,S1,22-04-2000,ACT7,11-20,C12,1
33,CN49662515,3301603017,S1,11-11-2000,ACT8,11-20,C13,0
34,CN63873387,9297580770,S1,26-11-2000,ACT9,11-20,C14,1
35,CN85374472,2842546618,S1,29-12-2000,ACT10,11-20,C15,0
36,CN41636479,6071110889,S1,30-07-2000,ACT6,11-20,C14,0
37,CN74271504,8143113507,S1,15-02-2001,ACT7,11-20,C1,1
38,CN74554280,6703209564,S1,18-01-2001,ACT8,11-20,C4,1
39,CN29324747,2688089144,S1,04-04-2001,ACT9,11-20,C13,0
40,CN45739089,8821994718,S1,29-05-2001,ACT10,11-20,C11,1
81,CN51769195,9105636782,S1,12-10-2000,ACT6,11-20,C11,0
82,CN65971269,4093141963,S1,22-04-2000,ACT7,11-20,C12,1
83,CN89295261,4250769606,S1,11-11-2000,ACT8,11-20,C13,0
84,CN45240117,5976263524,S1,26-11-2000,ACT9,11-20,C14,1
85,CN87335110,7932055267,S1,29-12-2000,ACT10,11-20,C15,0
86,CN86283736,4304103025,S1,30-07-2000,ACT6,11-20,C14,0
87,CN91095693,6987335645,S1,15-02-2001,ACT7,11-20,C1,1
88,CN72793212,4643887944,S1,18-01-2001,ACT8,11-20,C4,1
89,CN64424168,8578010290,S1,04-04-2001,ACT9,11-20,C13,0
90,CN48443957,5201319602,S1,29-05-2001,ACT10,11-20,C11,1
151,CN29107274,9165653164,S1,12-10-2000,ACT6,11-20,C11,0
152,CN89207392,3092445596,S1,22-04-2000,ACT7,11-20,C12,1
153,CN24862036,7407173149,S1,11-11-2000,ACT8,11-20,C13,0
154,CN95863283,9964704790,S1,26-11-2000,ACT9,11-20,C14,1
155,CN36465768,9162682593,S1,29-12-2000,ACT10,11-20,C15,0
156,CN23655268,2688733262,S1,30-07-2000,ACT6,11-20,C14,0
157,CN32387033,7459084629,S1,15-02-2001,ACT7,11-20,C1,1
158,CN66709121,5199981509,S1,18-01-2001,ACT8,11-20,C4,1
159,CN73046252,6842914104,S1,04-04-2001,ACT9,11-20,C13,0
160,CN80643887,9608678180,S1,29-05-2001,ACT10,11-20,C11,1
201,CN31563151,8375899830,S1,12-10-2000,ACT6,11-20,C11,0
202,CN43686451,5488841346,S1,22-04-2000,ACT7,11-20,C12,1
203,CN45100056,8893830959,S1,11-11-2000,ACT8,11-20,C13,0
204,CN64674048,4478257169,S1,26-11-2000,ACT9,11-20,C14,1
205,CN44496200,5272254513,S1,29-12-2000,ACT10,11-20,C15,0
206,CN88775079,8709223908,S1,30-07-2000,ACT6,11-20,C14,0
207,CN55379108,3632493756,S1,15-02-2001,ACT7,11-20,C1,1
208,CN28779454,7322854516,S1,18-01-2001,ACT8,11-20,C4,1
209,CN79788169,9325098500,S1,04-04-2001,ACT9,11-20,C13,0
210,CN53055440,2905985965,S1,29-05-2001,ACT10,11-20,C11,1
251,CN54421536,2441197192,S1,12-10-2000,ACT6,11-20,C11,0
252,CN66237883,7833501515,S1,22-04-2000,ACT7,11-20,C12,1
253,CN58356863,4555516454,S1,11-11-2000,ACT8,11-20,C13,0
254,CN50029969,8223239756,S1,26-11-2000,ACT9,11-20,C14,1
255,CN30270863,3062282764,S1,29-12-2000,ACT10,11-20,C15,0
256,CN44134242,3399215030,S1,30-07-2000,ACT6,11-20,C14,0
257,CN97030103,8113820312,S1,15-02-2001,ACT7,11-20,C1,1
258,CN46391517,6965683132,S1,18-01-2001,ACT8,11-20,C4,1
259,CN54146864,4229856947,S1,04-04-2001,ACT9,11-20,C13,0
260,CN86629559,3813279688,S1,29-05-2001,ACT10,11-20,C11,1
301,CN67350562,2723358154,S1,12-10-2000,ACT6,11-20,C11,0
302,CN54809392,3077556587,S1,22-04-2000,ACT7,11-20,C12,1
303,CN80558728,9113646319,S1,11-11-2000,ACT8,11-20,C13,0
304,CN68030047,5997665585,S1,26-11-2000,ACT9,11-20,C14,1
305,CN58869441,9434786637,S1,29-12-2000,ACT10,11-20,C15,0
306,CN82810411,8685589665,S1,30-07-2000,ACT6,11-20,C14,0
307,CN88632496,7085543717,S1,15-02-2001,ACT7,11-20,C1,1
308,CN55231029,9258331186,S1,18-01-2001,ACT8,11-20,C4,1
309,CN22728171,3973459306,S1,04-04-2001,ACT9,11-20,C13,0
310,CN45546411,2361126789,S1,29-05-2001,ACT10,11-20,C11,1
351,CN73093742,9096490914,S1,12-10-2000,ACT6,11-20,C11,0
352,CN90407213,9385225450,S1,22-04-2000,ACT7,11-20,C12,1
353,CN90616402,6447400841,S1,11-11-2000,ACT8,11-20,C13,0
354,CN51649367,7257466414,S1,26-11-2000,ACT9,11-20,C14,1
355,CN66665873,6363269973,S1,29-12-2000,ACT10,11-20,C15,0
356,CN61957891,2361422758,S1,30-07-2000,ACT6,11-20,C14,0
357,CN38534933,4068001689,S1,15-02-2001,ACT7,11-20,C1,1
358,CN69317453,6347286411,S1,18-01-2001,ACT8,11-20,C4,1
359,CN39831153,2727948551,S1,04-04-2001,ACT9,11-20,C13,0
360,CN67914108,7270340394,S1,29-05-2001,ACT10,11-20,C11,1
406,CN85048201,7764751486,S1,12-10-2000,ACT6,11-20,C11,0
407,CN96343418,2789969472,S1,22-04-2000,ACT7,11-20,C12,1
408,CN23746358,5551885684,S1,11-11-2000,ACT8,11-20,C13,0
409,CN59062893,8898146796,S1,26-11-2000,ACT9,11-20,C14,1
410,CN37194642,3141791058,S1,29-12-2000,ACT10,11-20,C15,0
411,CN52137326,6306522355,S1,30-07-2000,ACT6,11-20,C14,0
412,CN30309784,4118344590,S1,15-02-2001,ACT7,11-20,C1,1
413,CN77024133,4899322477,S1,18-01-2001,ACT8,11-20,C4,1
414,CN89903605,6959947046,S2,04-04-2001,ACT6,11-20,C13,0
415,CN73143199,8078379334,S2,29-05-2001,ACT7,11-20,C11,1
431,CN26148232,2560553351,S2,12-10-2000,ACT8,11-20,C11,0
432,CN37488757,8952071906,S2,22-04-2000,ACT9,11-20,C12,1
433,CN31323825,5879505506,S2,11-11-2000,ACT10,11-20,C13,0
434,CN67547804,6519159335,S2,26-11-2000,ACT6,11-20,C14,1
435,CN38960461,9740737993,S2,29-12-2000,ACT7,11-20,C15,0
436,CN99115832,5838101268,S2,30-07-2000,ACT8,11-20,C14,0
437,CN70853604,7291826027,S2,15-02-2001,ACT9,11-20,C1,1
438,CN44511755,8862444405,S2,18-01-2001,ACT10,11-20,C4,1
439,CN55996038,8949439159,S2,04-04-2001,ACT6,11-20,C13,0
440,CN74531280,9299658527,S2,29-05-2001,ACT7,11-20,C11,1
481,CN72312240,9225396225,S2,12-10-2000,ACT8,11-20,C11,0
482,CN91818886,5713820526,S2,22-04-2000,ACT9,11-20,C12,1
483,CN84816572,5698152004,S2,11-11-2000,ACT10,11-20,C13,0
484,CN58087373,9373223594,S2,26-11-2000,ACT6,11-20,C14,1
485,CN37279311,6914821275,S2,29-12-2000,ACT7,11-20,C15,0
486,CN49353562,6621151779,S2,30-07-2000,ACT8,11-20,C14,0
487,CN35022775,5753122674,S2,15-02-2001,ACT9,11-20,C1,1
488,CN43819971,8834364938,S2,18-01-2001,ACT10,11-20,C4,1
489,CN49891927,3237879465,S2,04-04-2001,ACT6,11-20,C13,0
490,CN86257968,3175667708,S2,29-05-2001,ACT7,11-20,C11,1
531,CN68554398,4470353723,S2,12-10-2000,ACT8,11-20,C11,0
532,CN27514709,2624563289,S2,22-04-2000,ACT9,11-20,C12,1
533,CN37714849,2821569865,S2,11-11-2000,ACT10,11-20,C13,0
534,CN99875811,7658515758,S2,26-11-2000,ACT6,11-20,C14,1
535,CN39455625,6471136175,S2,29-12-2000,ACT7,11-20,C15,0
536,CN90129684,9564971095,S2,30-07-2000,ACT8,11-20,C14,0
537,CN61935647,9169867343,S2,15-02-2001,ACT9,11-20,C1,1
538,CN93490868,2692781188,S2,18-01-2001,ACT10,11-20,C4,1
539,CN34506535,5430982769,S2,04-04-2001,ACT6,11-20,C13,0
540,CN68469356,6111626944,S2,29-05-2001,ACT7,11-20,C11,1
586,CN76307727,9511971589,S2,12-10-2000,ACT8,11-20,C11,0
587,CN62637369,3435115170,S2,22-04-2000,ACT9,11-20,C12,1
588,CN36689532,5270115892,S2,11-11-2000,ACT10,11-20,C13,0
589,CN41431297,7606938150,S2,26-11-2000,ACT6,11-20,C14,1
590,CN68826625,4836765047,S2,29-12-2000,ACT7,11-20,C15,0
591,CN73678394,9682007487,S2,30-07-2000,ACT8,11-20,C14,0
592,CN76673952,2874968274,S2,15-02-2001,ACT9,11-20,C1,1
593,CN70692275,2444636776,S2,18-01-2001,ACT10,11-20,C4,1
594,CN65251100,2480603994,S2,04-04-2001,ACT6,11-20,C13,0
595,CN30758210,7530600284,S2,29-05-2001,ACT7,11-20,C11,1
626,CN67028602,3721129141,S2,12-10-2000,ACT8,11-20,C11,0
627,CN42113336,7313755166,S2,22-04-2000,ACT9,11-20,C12,1
628,CN45796088,2522238665,S2,11-11-2000,ACT10,11-20,C13,0
629,CN94213600,4355360800,S2,26-11-2000,ACT6,11-20,C14,1
630,CN56887574,2960084646,S2,29-12-2000,ACT7,11-20,C15,0
631,CN58526668,3565907181,S2,30-07-2000,ACT8,11-20,C14,0
632,CN60744484,9518182255,S2,15-02-2001,ACT9,11-20,C1,1
633,CN22465474,5043752487,S2,18-01-2001,ACT10,11-20,C4,1
634,CN60081549,5360974075,S2,04-04-2001,ACT6,11-20,C13,0
635,CN29122481,4652121619,S2,29-05-2001,ACT7,11-20,C11,1
676,CN57007856,2762478883,S2,12-10-2000,ACT8,11-20,C11,0
677,CN32874383,6050864429,S2,22-04-2000,ACT9,11-20,C12,1
678,CN65332122,2759693807,S2,11-11-2000,ACT10,11-20,C13,0
679,CN65377247,6456968587,S2,26-11-2000,ACT6,11-20,C14,1
680,CN59147103,7834593078,S2,29-12-2000,ACT7,11-20,C15,0
681,CN61619752,7307855619,S2,30-07-2000,ACT8,11-20,C14,0
682,CN29807881,9551778634,S2,15-02-2001,ACT9,11-20,C1,1
683,CN96601808,3346348692,S2,18-01-2001,ACT10,11-20,C4,1
684,CN62123736,4995583609,S2,04-04-2001,ACT6,11-20,C13,0
685,CN78856352,9053503673,S2,29-05-2001,ACT7,11-20,C11,1
736,CN59578648,5957802652,S2,12-10-2000,ACT8,11-20,C11,0
737,CN33438010,5601317159,S2,22-04-2000,ACT9,11-20,C12,1
738,CN95699901,6174145925,S2,11-11-2000,ACT10,11-20,C13,0
739,CN60495261,7149306380,S2,26-11-2000,ACT6,11-20,C14,1
740,CN91184637,9207594608,S2,29-12-2000,ACT7,11-20,C15,0
741,CN95635142,3435706092,S2,30-07-2000,ACT8,11-20,C14,0
742,CN96040284,5006056182,S2,15-02-2001,ACT9,11-20,C1,1
743,CN51691358,3157614162,S2,18-01-2001,ACT10,11-20,C4,1
744,CN58158915,2606586451,S2,04-04-2001,ACT6,11-20,C13,0
745,CN64519117,5500523359,S2,29-05-2001,ACT7,11-20,C11,1
791,CN59414476,3808503815,S2,12-10-2000,ACT8,11-20,C11,0
792,CN71445770,2697115367,S2,22-04-2000,ACT9,11-20,C12,1
793,CN67883510,9555760545,S2,11-11-2000,ACT10,11-20,C13,0
794,CN57283052,6835989836,S2,26-11-2000,ACT6,11-20,C14,1
795,CN29299371,9858299075,S2,29-12-2000,ACT7,11-20,C15,0
796,CN97480604,9656324255,S2,30-07-2000,ACT8,11-20,C14,0
797,CN87117796,7594050626,S2,15-02-2001,ACT9,11-20,C1,1
798,CN38693479,6811325027,S3,18-01-2001,ACT6,11-20,C4,1
799,CN46680550,5993061819,S3,04-04-2001,ACT7,11-20,C13,0
800,CN66015879,7256396713,S3,29-05-2001,ACT8,11-20,C11,1
841,CN25063886,8288489470,S3,12-10-2000,ACT9,11-20,C11,0
842,CN98873963,9853031909,S3,22-04-2000,ACT10,11-20,C12,1
843,CN87738134,6739452191,S3,11-11-2000,ACT6,11-20,C13,0
844,CN73944814,2248815909,S3,26-11-2000,ACT7,11-20,C14,1
845,CN78511548,2728685513,S3,29-12-2000,ACT8,11-20,C15,0
846,CN70759137,3022120858,S3,30-07-2000,ACT9,11-20,C14,0
847,CN67911775,7443405353,S3,15-02-2001,ACT10,11-20,C1,1
848,CN69357617,4688096706,S3,18-01-2001,ACT6,11-20,C4,1
849,CN96122131,3521364542,S3,04-04-2001,ACT7,11-20,C13,0
850,CN67545894,6901330615,S3,29-05-2001,ACT8,11-20,C11,1
911,CN81541206,3695680180,S3,12-10-2000,ACT9,11-20,C11,0
912,CN44725620,3570858121,S3,22-04-2000,ACT10,11-20,C12,1
913,CN32996792,5765525194,S3,11-11-2000,ACT6,11-20,C13,0
914,CN48658242,3981092739,S3,26-11-2000,ACT7,11-20,C14,1
915,CN57940343,9366302752,S3,29-12-2000,ACT8,11-20,C15,0
916,CN97510108,7373276955,S3,30-07-2000,ACT9,11-20,C14,0
917,CN52150986,8837643667,S3,15-02-2001,ACT10,11-20,C1,1
918,CN98131202,5964978505,S3,18-01-2001,ACT6,11-20,C4,1
919,CN33840137,6493648764,S3,04-04-2001,ACT7,11-20,C13,0
920,CN50197183,4661845482,S3,29-05-2001,ACT8,11-20,C11,1
961,CN93242064,3516091479,S3,12-10-2000,ACT9,11-20,C11,0
962,CN96899857,9495789896,S3,22-04-2000,ACT10,11-20,C12,1
963,CN58892091,5640502871,S3,11-11-2000,ACT6,11-20,C13,0
964,CN40644423,7294859615,S3,26-11-2000,ACT7,11-20,C14,1
965,CN53972915,6503362224,S3,29-12-2000,ACT8,11-20,C15,0
966,CN70620349,6024205552,S3,30-07-2000,ACT9,11-20,C14,0
967,CN95582214,6245016295,S3,15-02-2001,ACT10,11-20,C1,1
968,CN67521703,2741660348,S3,18-01-2001,ACT6,11-20,C4,1
969,CN48154993,4022066526,S3,04-04-2001,ACT7,11-20,C13,0
970,CN85418308,3086008134,S3,29-05-2001,ACT8,11-20,C11,1
1006,CN25671561,3733561453,S3,12-10-2000,ACT9,11-20,C11,0
1007,CN82769270,3725541350,S3,22-04-2000,ACT10,11-20,C12,1
1008,CN28859822,2387588382,S3,11-11-2000,ACT6,11-20,C13,0
1009,CN73541878,4453624106,S3,26-11-2000,ACT7,11-20,C14,1
1010,CN53027063,3395661683,S3,29-12-2000,ACT8,11-20,C15,0
1011,CN85752586,7234836692,S3,30-07-2000,ACT9,11-20,C14,0
1012,CN68400774,5690427697,S3,15-02-2001,ACT10,11-20,C1,1
1013,CN48792866,3249044679,S3,18-01-2001,ACT6,11-20,C4,1
1014,CN79113313,3040854740,S3,04-04-2001,ACT7,11-20,C13,0
1015,CN73295600,7564061010,S3,29-05-2001,ACT8,11-20,C11,1
1056,CN73241397,7373534277,S3,12-10-2000,ACT9,11-20,C11,0
1057,CN96451585,8345476215,S3,22-04-2000,ACT10,11-20,C12,1
1058,CN50796740,5096766114,S3,11-11-2000,ACT6,11-20,C13,0
1059,CN86513091,9827828750,S3,26-11-2000,ACT7,11-20,C14,1
1060,CN58538879,6506807201,S3,29-12-2000,ACT8,11-20,C15,0
1061,CN75781392,7186582407,S3,30-07-2000,ACT9,11-20,C14,0
1062,CN25351370,7152758095,S3,15-02-2001,ACT10,11-20,C1,1
1063,CN49381859,9680702133,S3,18-01-2001,ACT6,11-20,C4,1
1064,CN36493542,2271036936,S3,04-04-2001,ACT7,11-20,C13,0
1065,CN60368887,7475063511,S3,29-05-2001,ACT8,11-20,C11,1
1111,CN98868894,2998571036,S3,12-10-2000,ACT9,11-20,C11,0
1112,CN88808935,5467795184,S3,22-04-2000,ACT10,11-20,C12,1
1113,CN99964252,5812034933,S3,11-11-2000,ACT6,11-20,C13,0
1114,CN74648622,6447912352,S3,26-11-2000,ACT7,11-20,C14,1
1115,CN98002810,8879462951,S3,29-12-2000,ACT8,11-20,C15,0
1116,CN72844225,7468659227,S3,30-07-2000,ACT9,11-20,C14,0
1117,CN86510210,2868651615,S3,15-02-2001,ACT10,11-20,C1,1
1118,CN36258443,5540679595,S3,18-01-2001,ACT6,11-20,C4,1
1119,CN89502412,4302038645,S3,04-04-2001,ACT7,11-20,C13,0
1120,CN61526304,7902890548,S3,29-05-2001,ACT8,11-20,C11,1
1161,CN41808162,8912735355,S3,12-10-2000,ACT9,11-20,C11,0
1162,CN33993484,6553512583,S3,22-04-2000,ACT10,11-20,C12,1
1163,CN36357998,4623512146,S3,11-11-2000,ACT6,11-20,C13,0
1164,CN62573639,2295394638,S3,26-11-2000,ACT7,11-20,C14,1
1165,CN41406688,4582159313,S3,29-12-2000,ACT8,11-20,C15,0
1166,CN86743944,3264477877,S3,30-07-2000,ACT9,11-20,C14,0
1167,CN49663771,9831715395,S3,15-02-2001,ACT10,11-20,C1,1
1168,CN79121886,6307787767,S3,18-01-2001,ACT6,11-20,C4,1
1169,CN87393965,5579912644,S3,04-04-2001,ACT7,11-20,C13,0
1170,CN67413627,3077446713,S3,29-05-2001,ACT8,11-20,C11,1
1231,CN48408368,6557570516,S3,12-10-2000,ACT9,11-20,C11,0
1232,CN89310547,4254665808,S3,22-04-2000,ACT10,11-20,C12,1
1233,CN73592787,5495529894,S3,11-11-2000,ACT6,11-20,C13,0
1234,CN75530298,4231339375,S3,26-11-2000,ACT7,11-20,C14,1
1235,CN79926280,5134675725,S3,29-12-2000,ACT8,11-20,C15,0
1236,CN60227967,4090779476,S4,30-07-2000,ACT6,11-20,C14,0
1237,CN23525241,8751523927,S4,15-02-2001,ACT7,11-20,C1,1
1238,CN90590044,2635738359,S4,18-01-2001,ACT8,11-20,C4,1
1239,CN69483982,4078956768,S4,04-04-2001,ACT9,11-20,C13,0
1240,CN77984725,9064565699,S4,29-05-2001,ACT10,11-20,C11,1
1281,CN83166704,6759537886,S4,12-10-2000,ACT6,11-20,C11,0
1282,CN99691213,8940169800,S4,22-04-2000,ACT7,11-20,C12,1
1283,CN67807900,6081098971,S4,11-11-2000,ACT8,11-20,C13,0
1284,CN41998170,6497772139,S4,26-11-2000,ACT9,11-20,C14,1
1285,CN74442740,5048978607,S4,29-12-2000,ACT10,11-20,C15,0
1286,CN50788599,7347796805,S4,30-07-2000,ACT6,11-20,C14,0
1287,CN50947484,5425722196,S4,15-02-2001,ACT7,11-20,C1,1
1288,CN78623492,9519130976,S4,18-01-2001,ACT8,11-20,C4,1
1289,CN49825488,2244379305,S4,04-04-2001,ACT9,11-20,C13,0
1290,CN75350715,5653278272,S4,29-05-2001,ACT10,11-20,C11,1
1331,CN94381257,2560783635,S4,12-10-2000,ACT6,11-20,C11,0
1332,CN76457555,7745697980,S4,22-04-2000,ACT7,11-20,C12,1
1333,CN38026532,6134876906,S4,11-11-2000,ACT8,11-20,C13,0
1334,CN23224539,3924275889,S4,26-11-2000,ACT9,11-20,C14,1
1335,CN99201616,8316835265,S4,29-12-2000,ACT10,11-20,C15,0
1336,CN73326284,3373219089,S4,30-07-2000,ACT6,11-20,C14,0
1337,CN62991329,2685525712,S4,15-02-2001,ACT7,11-20,C1,1
1338,CN38705100,9738594806,S4,18-01-2001,ACT8,11-20,C4,1
1339,CN57200058,2890940875,S4,04-04-2001,ACT9,11-20,C13,0
1340,CN87094745,9962078681,S4,29-05-2001,ACT10,11-20,C11,1
1381,CN38426431,5998374205,S4,12-10-2000,ACT6,11-20,C11,0
1382,CN37006870,3382471509,S4,22-04-2000,ACT7,11-20,C12,1
1383,CN23413179,3030947849,S4,11-11-2000,ACT8,11-20,C13,0
1384,CN68900674,7955336991,S4,26-11-2000,ACT9,11-20,C14,1
1385,CN66966079,9072991733,S4,29-12-2000,ACT10,11-20,C15,0
1386,CN51092336,8038439436,S4,30-07-2000,ACT6,11-20,C14,0
1387,CN35110175,6090716859,S4,15-02-2001,ACT7,11-20,C1,1
1388,CN58563284,4756585481,S4,18-01-2001,ACT8,11-20,C4,1
1389,CN61910418,2870329240,S4,04-04-2001,ACT9,11-20,C13,0
1390,CN28303640,8826816843,S4,29-05-2001,ACT10,11-20,C11,1
1431,CN29748825,2862777784,S4,12-10-2000,ACT6,11-20,C11,0
1432,CN69396613,5606315318,S4,22-04-2000,ACT7,11-20,C12,1
1433,CN33402895,8922356989,S4,11-11-2000,ACT8,11-20,C13,0
1434,CN48507100,7926481185,S4,26-11-2000,ACT9,11-20,C14,1
1435,CN70241641,8665178756,S4,29-12-2000,ACT10,11-20,C15,0
1436,CN36871908,8080837489,S4,30-07-2000,ACT6,11-20,C14,0
1437,CN90031494,2270119237,S4,15-02-2001,ACT7,11-20,C1,1
1438,CN80115779,8189627083,S4,18-01-2001,ACT8,11-20,C4,1
1439,CN44435439,4824463335,S4,04-04-2001,ACT9,11-20,C13,0
1440,CN92291671,4831058887,S4,29-05-2001,ACT10,11-20,C11,1
1486,CN59054821,6471650178,S4,12-10-2000,ACT6,11-20,C11,0
1487,CN32073157,6618266680,S4,22-04-2000,ACT7,11-20,C12,1
1488,CN57546352,5840316449,S4,11-11-2000,ACT8,11-20,C13,0
1489,CN39857056,2907273442,S4,26-11-2000,ACT9,11-20,C14,1
1490,CN69995835,5101235412,S4,29-12-2000,ACT10,11-20,C15,0
1491,CN80845464,2338343536,S4,30-07-2000,ACT6,11-20,C14,0
1492,CN64803793,3748238471,S4,15-02-2001,ACT7,11-20,C1,1
1493,CN61404231,9863296190,S4,18-01-2001,ACT8,11-20,C4,1
1494,CN91529522,3159779480,S4,04-04-2001,ACT9,11-20,C13,0
1495,CN52031437,3301858802,S4,29-05-2001,ACT10,11-20,C11,1
1511,CN59940655,4238567876,S4,12-10-2000,ACT6,11-20,C11,0
1512,CN30720991,2494767601,S4,22-04-2000,ACT7,11-20,C12,1
1513,CN71904888,4626631928,S4,11-11-2000,ACT8,11-20,C13,0
1514,CN57054378,4337115400,S4,26-11-2000,ACT9,11-20,C14,1
1515,CN32964998,7257174730,S4,29-12-2000,ACT10,11-20,C15,0
1516,CN62404864,7015168634,S4,30-07-2000,ACT6,11-20,C14,0
1517,CN40220348,7416326874,S4,15-02-2001,ACT7,11-20,C1,1
1518,CN55781076,3078098484,S4,18-01-2001,ACT8,11-20,C4,1
1519,CN81208086,7059730708,S4,04-04-2001,ACT9,11-20,C13,0
1520,CN51673605,7516671788,S4,29-05-2001,ACT10,11-20,C11,1
1561,CN28975376,8775306203,S4,12-10-2000,ACT6,11-20,C11,0
1562,CN63174012,4192417410,S4,22-04-2000,ACT7,11-20,C12,1
1563,CN94476072,4050650609,S4,11-11-2000,ACT8,11-20,C13,0
1564,CN96760237,8203503415,S4,26-11-2000,ACT9,11-20,C14,1
1565,CN37980431,3293354373,S4,29-12-2000,ACT10,11-20,C15,0
1566,CN71946461,3981376739,S4,30-07-2000,ACT6,11-20,C14,0
1567,CN44979236,6916218389,S4,15-02-2001,ACT7,11-20,C1,1
1568,CN67326061,7130742233,S4,18-01-2001,ACT8,11-20,C4,1
1569,CN62746671,6689443942,S4,04-04-2001,ACT9,11-20,C13,0
1570,CN74282073,9068060062,S4,29-05-2001,ACT10,11-20,C11,1
1611,CN63990516,6487218677,S4,12-10-2000,ACT6,11-20,C11,0
1612,CN37950926,7632521165,S4,22-04-2000,ACT7,11-20,C12,1
1613,CN78893839,4741743685,S4,11-11-2000,ACT8,11-20,C13,0
1614,CN28844537,3990095697,S5,26-11-2000,ACT6,11-20,C14,1
1615,CN44375869,4494545279,S5,29-12-2000,ACT7,11-20,C15,0
1616,CN91960769,3116539151,S5,30-07-2000,ACT8,11-20,C14,0
1617,CN78762732,9163102413,S5,15-02-2001,ACT9,11-20,C1,1
1618,CN66002099,5631512796,S5,18-01-2001,ACT10,11-20,C4,1
1619,CN97920475,4067971752,S5,04-04-2001,ACT6,11-20,C13,0
1620,CN82318947,9736607979,S5,29-05-2001,ACT7,11-20,C11,1
1666,CN35764590,4449796758,S5,12-10-2000,ACT8,11-20,C11,0
1667,CN30679869,9011782579,S5,22-04-2000,ACT9,11-20,C12,1
1668,CN68035626,4435891965,S5,11-11-2000,ACT10,11-20,C13,0
1669,CN83704257,3710539535,S5,26-11-2000,ACT6,11-20,C14,1
1670,CN55216913,5162262944,S5,29-12-2000,ACT7,11-20,C15,0
1671,CN44804776,7990513211,S5,30-07-2000,ACT8,11-20,C14,0
1672,CN71878469,7880107939,S5,15-02-2001,ACT9,11-20,C1,1
1673,CN72233580,4783274760,S5,18-01-2001,ACT10,11-20,C4,1
1674,CN50146785,9904824803,S5,04-04-2001,ACT6,11-20,C13,0
1675,CN63546202,2426698504,S5,29-05-2001,ACT7,11-20,C11,1
1706,CN97860051,7034568103,S5,12-10-2000,ACT8,11-20,C11,0
1707,CN93979493,9011459992,S5,22-04-2000,ACT9,11-20,C12,1
1708,CN67188815,4715420529,S5,11-11-2000,ACT10,11-20,C13,0
1709,CN66914883,6160014336,S5,26-11-2000,ACT6,11-20,C14,1
1710,CN69744275,4801586797,S5,29-12-2000,ACT7,11-20,C15,0
1711,CN41183736,2806260149,S5,30-07-2000,ACT8,11-20,C14,0
1712,CN33532005,9913046740,S5,15-02-2001,ACT9,11-20,C1,1
1713,CN89566529,7951007789,S5,18-01-2001,ACT10,11-20,C4,1
1714,CN93638271,3543083002,S5,04-04-2001,ACT6,11-20,C13,0
1715,CN88275398,5150232055,S5,29-05-2001,ACT7,11-20,C11,1
1756,CN55910256,3619907222,S5,12-10-2000,ACT8,11-20,C11,0
1757,CN27978932,4435576192,S5,22-04-2000,ACT9,11-20,C12,1
